pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
ENJUSDT-MANAUSDT,10/01-12/30,-1.9560502,0.0,24,-0.08150209,12,36,2881,3.6852188,-4.767393
DOGEUSDC-FLOWUSDT,10/01-12/30,-1.4186624,0.0,1,-1.4186624,0,2,2881,0.0,-1.3909339
CHZUSDT-ONEUSDT,10/01-12/30,1.9724178,0.0,16,0.123276114,8,24,2881,4.8025784,-4.340955
SANDUSDC-SANDUSDT,10/01-12/30,-0.6526144,0.0,12,-0.054384533,6,18,2881,0.431619,-0.47977588
SHIBUSDC-SHIBUSDT,10/01-12/30,-0.75204253,0.0,10,-0.07520425,4,16,2881,0.51565236,-0.4227493
GMXUSDT-WAVESUSDT,10/01-12/30,4.6681128,0.0,19,0.24569015,14,24,2881,2.8069491,-0.3310689
ETCUSDT-FILUSDT,10/01-12/30,-0.783905,0.0,36,-0.02177514,20,52,2881,4.211823,-4.697928
AXSUSDT-GRTUSDT,10/01-12/30,-0.38931426,0.0,30,-0.012977142,15,45,2881,0.9231368,-1.0487169
HOOKUSDT-RVNUSDT,10/01-12/30,1.9092351,0.0,17,0.11230795,9,25,2881,0.78116715,-0.6194105
LINKUSDC-LINKUSDT,10/01-12/30,-0.0760579,0.0,16,-0.004753619,8,24,2881,0.35578176,-0.28081384
FILUSDC-FILUSDT,10/01-12/30,-0.9567579,0.0,13,-0.07359676,6,20,2881,1.1558055,-1.6760365
DOGEUSDT-FLOWUSDT,10/01-12/30,0.12992954,0.0,2,0.06496477,1,3,2881,1.5026861,-1.313247
OPUSDC-OPUSDT,10/01-12/30,-3.5836403,0.0,11,-0.3257855,4,18,2881,0.29259723,-0.8088469
ADAUSDC-ADAUSDT,10/01-12/30,-4.053879,0.0,12,-0.33782324,0,24,2881,0.0,-0.4642745
GMXUSDT-MANAUSDT,10/01-12/30,-6.669667,0.0,32,-0.20842709,10,54,2881,0.3601559,-1.0712831
ETCUSDT-FILUSDC,10/01-12/30,-2.2137709,0.0,29,-0.07633693,16,42,2881,4.1097264,-4.7882247
FILUSDC-WAVESUSDT,10/01-12/30,4.2688966,0.0,28,0.15246059,18,38,2881,4.988369,-3.4577196
SOLUSDC-SOLUSDT,10/01-12/30,-1.062184,0.0,17,-0.06248141,5,29,2881,0.06521296,-0.16328125
IDUSDT-LRCUSDT,10/01-12/30,0.9214254,0.0,3,0.3071418,3,3,2881,0.4334341,-0.015709613
C98USDT-QTUMUSDT,10/01-12/30,4.4508047,0.0,23,0.19351324,15,31,2881,4.4062295,-5.264239
DOGEEUR-WAVESUSDT,10/01-12/30,7.5684175,0.0,33,0.22934599,18,48,2881,4.680011,-3.1259165
WLDUSDC-WLDUSDT,10/01-12/30,-0.2562314,0.0,11,-0.023293763,4,18,2881,0.037698112,-0.0660819
MNTUSDC-MNTUSDT,10/01-12/30,-1.8314574,0.0,14,-0.13081838,5,23,2881,0.2623759,-0.60899734
GMXUSDT-MANAUSDC,10/01-12/30,-2.5296078,0.0,32,-0.07905024,14,50,2881,0.8496795,-0.817086
ETCUSDT-WAVESUSDT,10/01-12/30,-5.6431446,0.0,33,-0.17100438,15,51,2881,5.4963307,-3.9284415
FILUSDT-WAVESUSDT,10/01-12/30,4.162831,0.0,31,0.13428487,20,42,2881,4.494198,-3.4363487
CELOUSDT-QTUMUSDT,10/01-12/30,-1.6373038,0.0,23,-0.07118712,12,34,2881,4.0150404,-7.7319236
1INCHUSDT-XEMUSDT,10/01-12/30,0.4200046,0.0,13,0.032308046,8,18,2881,1.5156842,-2.8216493
ICPUSDC-ICPUSDT,10/01-12/30,-0.8149818,0.0,15,-0.054332122,6,24,2881,2.915826,-1.7498494
DOGEEUR-FLOWUSDT,10/01-12/30,-3.5908082,0.0,3,-1.196936,0,6,2881,0.0,-2.09266
ACHUSDT-SANDUSDT,10/01-12/30,1.408376,0.0,3,0.46945867,2,4,2881,1.5126265,-0.9807871
CHZUSDC-CHZUSDT,10/01-12/30,1.8565853,0.0,15,0.12377235,6,24,2881,2.813197,-0.72977585
LTCUSDT-XRPUSDT,10/01-12/30,-5.053644,0.0,33,-0.15314074,17,49,2881,4.0314226,-4.0242305
ETCUSDT-SANDUSDC,10/01-12/30,-6.188591,0.0,29,-0.2133997,12,46,2881,5.3255715,-4.658997
FILUSDT-SANDUSDT,10/01-12/30,2.6960492,0.0,20,0.13480246,12,28,2881,2.3121722,-1.4999193
STGUSDT-XTZUSDT,10/01-12/30,-6.2239275,0.0,4,-1.5559819,1,7,2881,0.21782933,-4.0042505
SANDUSDC-WAVESUSDT,10/01-12/30,6.007719,0.0,21,0.28608185,13,29,2881,2.354068,-2.185173
