adf_stat,pvalue,half_life,crossings,hurst,beta,beta_drift,pair,symbol1,symbol2,verdict,score
-1.8864537324877397,0.3384602898645891,904.6087800113132,57,0.4443786629573133,0.006936751023363601,0.43725012167636845,1INCHUSDT/EGLDUSDT,1INCHUSDT,EGLDUSDT,FAIL,-4.4308535070277335
-2.4414538443338714,0.13037645244254326,493.74913043508377,60,0.45291194628807774,2.5104860715454342,0.46853348767489894,1INCHUSDT/EGOUSDT,1INCHUSDT,EGOUSDT,FAIL,-2.4464319627999274
-3.6401895875328036,0.005037573457381157,150.812889579763,203,0.39408482104276005,0.7224730141652669,0.28484401909557794,1INCHUSDT/ENJUSDT,1INCHUSDT,ENJUSDT,FAIL,0.5254041699482987
-1.9791337674840361,0.2957964846727459,805.4720839094531,64,0.4584918934674797,0.015548534576969676,0.23775478094932742,1INCHUSDT/ENSUSDT,1INCHUSDT,ENSUSDT,FAIL,-2.866738751474096
-4.269879844960308,0.0005006961842725001,129.35050246697128,183,0.4181233566704275,107.04475783890395,0.08006455956878139,1INCHUSDT/ERTHAUSDT,1INCHUSDT,ERTHAUSDT,PASS,1.5946702403133681
-3.593772327630678,0.005881209722431182,193.89280832290385,133,0.42924590483521713,0.019514535511841385,0.3563679828247154,1INCHUSDT/ETCUSDT,1INCHUSDT,ETCUSDT,FAIL,0.1593479886521112
-1.772641260341245,0.3941266255543243,997.1885516637211,34,0.4536624547008341,5.428655149608621,0.580388353099421,1INCHUSDT/ETHBTC,1INCHUSDT,ETHBTC,FAIL,-6.163208021040349
-2.3871198013202894,0.14540479861139455,162.4928913606008,249,0.32067208283488075,0.00016003975188409375,1.3813893302782658,1INCHUSDT/ETHDAI,1INCHUSDT,ETHDAI,FAIL,-6.360994637505275
-2.0977320966658333,0.24542751420295122,531.5577781602809,127,0.42426273836770384,0.00017231547803487767,1.5492403717745278,1INCHUSDT/ETHEUR,1INCHUSDT,ETHEUR,FAIL,-8.20047700090215
-2.372263456643687,0.1497183383626695,483.5860559914478,159,0.42479269230388833,0.00015929074921423864,1.401962152726266,1INCHUSDT/ETHUSDC,1INCHUSDT,ETHUSDC,FAIL,-6.506994147258025
-2.363512831653581,0.15230049909917098,486.5906936499067,147,0.4245015663056144,0.00015956798426486013,1.390037011598402,1INCHUSDT/ETHUSDT,1INCHUSDT,ETHUSDT,FAIL,-6.473190048983719
-1.574523332005148,0.4963773715452118,881.7486537285863,82,0.46686545222518416,0.07526083458616632,0.39263552201864477,1INCHUSDT/ETHWUSDT,1INCHUSDT,ETHWUSDT,FAIL,-5.286951325545342
-1.8046040295994517,0.3781783283583574,857.0110421257438,36,0.46025491317340894,-2.8039320647016184,0.13581762096322247,1INCHUSDT/EVERUSDT,1INCHUSDT,EVERUSDT,FAIL,-3.740871388399687
-2.129877385019976,0.23267166660377797,760.3752278010072,36,0.4404029084485334,1.04025265042844,0.6416761608080729,1INCHUSDT/FARUSDT,1INCHUSDT,FARUSDT,FAIL,-4.815097470078144
-1.7393066883572674,0.41098267883912964,827.9548124454263,103,0.46807883207905965,0.06694175964821306,0.8722921964495883,1INCHUSDT/FETUSDT,1INCHUSDT,FETUSDT,FAIL,-6.471287770639238
-1.101484349164396,0.7144796009894159,1000.0,83,0.40912725541103506,8.796646457112387e-05,3.972902502171029,5IREUSDT/AAVEUSDT,5IREUSDT,AAVEUSDT,FAIL,-25.349308520749304
-1.6163926647167957,0.47462098499463873,734.5109981513377,65,0.44290296864126916,-2.769788470241143,3.809127083280999,5IREUSDT/ACHUSDT,5IREUSDT,ACHUSDT,FAIL,-22.49184526635138
-1.3216446101950312,0.619212627069413,955.3253773821548,111,0.4077572519177304,14.600586313919921,5.060364892184888,5IREUSDT/ACSUSDT,5IREUSDT,ACSUSDT,FAIL,-29.49395073161857
-1.6554041339382295,0.45422355495429406,670.9950987828622,119,0.387719434872475,0.22945906095716645,4.164454850310653,5IREUSDT/ADAEUR,5IREUSDT,ADAEUR,FAIL,-23.364509801096208
-1.662451793970203,0.4505548150505247,672.2521351538986,107,0.38833355995426677,0.20895567080897162,4.141962609055968,5IREUSDT/ADAUSDC,5IREUSDT,ADAUSDC,FAIL,-23.215361195785086
-1.6631309889373693,0.45020154986443534,672.0897915287824,105,0.38844543170822404,0.20960500022585088,4.128879335331371,5IREUSDT/ADAUSDT,5IREUSDT,ADAUSDT,FAIL,-23.146412175301208
-6.130940967651596,8.405172371212566e-08,50.36029606802652,176,0.36636937599760366,0.6694861484347103,1.6415328492611783,5IREUSDT/AEGUSDT,5IREUSDT,AEGUSDT,FAIL,-5.707665086823127
-2.1791407392735858,0.2139030753097262,267.0473438031405,73,0.4080952137605665,0.04394675378602396,2.9361847470962674,5IREUSDT/AEVOUSDT,5IREUSDT,AEVOUSDT,FAIL,-15.359954488578598
-1.257756658440707,0.6482704415876233,573.182818502934,159,0.38431970634068374,-0.07953898039307332,1.319706875376203,5IREUSDT/AFCUSDT,5IREUSDT,AFCUSDT,FAIL,-11.081238792757247
-4.824625917457095,4.87837632376473e-05,124.51758808383465,218,0.41275113164054356,1.1814837732889856,4.138275845150163,5IREUSDT/AFGUSDT,5IREUSDT,AFGUSDT,FAIL,-18.691867063383192
-1.038056833764576,0.739132203691215,1000.0,57,0.4194878466859932,-0.07953242705753319,6.8951484844779225,5IREUSDT/AGIUSDT,5IREUSDT,AGIUSDT,FAIL,-40.727064459301765
-3.5949801172708264,0.005857725523474662,111.83901270087034,191,0.3669743805648495,5.691575631922365,7.789723773426959,5IREUSDT/AGLAUSDT,5IREUSDT,AGLAUSDT,FAIL,-37.00719612236954
-1.4418612593461229,0.562051042011768,792.2158333447389,159,0.39932992012657265,0.06439156688175919,3.3322750557594882,5IREUSDT/AGLDUSDT,5IREUSDT,AGLDUSDT,FAIL,-20.28188569891512
-1.7002554781918113,0.4309808516269519,628.5002075763286,99,0.4306480605577997,-0.09247409410910766,6.5715666682172165,5IREUSDT/AIOZUSDT,5IREUSDT,AIOZUSDT,FAIL,-35.18764185735561
-3.704152378627319,0.004055124879235032,105.21145922345288,247,0.388004857452513,7.603679130416544,6.150212319303822,5IREUSDT/AKIUSDT,5IREUSDT,AKIUSDT,FAIL,-28.791612845311462
-3.0642137218575156,0.029317402093766938,263.2185463225074,121,0.4235626206932069,83514.81761169947,4.073328623592925,5IREUSDT/ALGOBTC,5IREUSDT,ALGOBTC,FAIL,-18.659817138902294
