pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
WAXPUSDT-ZILUSDT,08/02-10/31,0.1837177276611328,0.04361036792397499,3,0.06123924255371094,3,3,2881,0.10603519529104233,-0.018360009416937828,
PEOPLEUSDT-THETAUSDT,08/02-10/31,8.719037055969238,0.9520389437675476,24,0.36329320073127747,16,32,2881,4.399965286254883,-2.361391305923462,
SUNUSDT-ZRXUSDT,08/02-10/31,23.08979606628418,0.12660625576972961,6,3.848299264907837,4,8,2881,16.009063720703125,-0.17454487085342407,
RACAUSDT-VPADUSDT,08/02-10/31,1.8004339933395386,0.1882677972316742,7,0.2572048604488373,4,10,2881,2.148087501525879,-1.4981669187545776,
COMPUSDT-LTCUSDT,08/02-10/31,0.5160186290740967,0.2651795446872711,14,0.03685847297310829,7,21,2881,0.7869451642036438,-0.7680624723434448,
KSMUSDT-STETHUSDT,08/02-10/31,-1.0902884006500244,0.4991859495639801,18,-0.0605715773999691,11,25,2881,0.9571701288223267,-2.081636428833008,
ARUSDT-MASKUSDT,08/02-10/31,-8.589109420776367,1.3545334339141846,19,-0.4520584046840668,12,26,2881,6.834435939788818,-16.67102813720703,
AXSUSDT-GMTUSDC,08/02-10/31,8.168224334716797,1.4134409427642822,24,0.3403426706790924,15,33,2881,9.825605392456055,-4.777215957641602,
INTERUSDT-XRPUSDC,08/02-10/31,1.8785851001739502,0.3172371983528137,29,0.06477879732847214,14,44,2881,2.690232276916504,-3.5479917526245117,
INTERUSDT-QTUMUSDT,08/02-10/31,0.4384968876838684,0.26639699935913086,27,0.016240624710917473,6,48,2881,0.3744852840900421,-0.06340937316417694,
MASKUSDT-XRPUSDT,08/02-10/31,1.1479917764663696,0.5416686534881592,24,0.04783299192786217,14,34,2881,2.799903631210327,-2.1068267822265625,
INTERUSDT-XEMUSDT,08/02-10/31,-1.8303574323654175,0.22513613104820251,25,-0.07321429997682571,4,46,2881,1.5363341569900513,-3.7224888801574707,
AFCUSDT-AVAXUSDC,08/02-10/31,-0.13882850110530853,0.013002175837755203,1,-0.13882850110530853,0,2,2881,0.0,-0.1323840320110321,
CITYUSDT-DOTUSDT,08/02-10/31,-0.3722834587097168,0.2084045708179474,20,-0.01861417293548584,8,32,2881,2.935354471206665,-2.779186964035034,
ETHWUSDT-GMTUSDC,08/02-10/31,6.527736663818359,0.7480284571647644,24,0.27198901772499084,16,32,2881,3.139864683151245,-6.040374755859375,
ARKMUSDT-SOLUSDC,08/02-10/31,1.2007863521575928,0.3962377607822418,23,0.052208103239536285,14,32,2881,0.8590832352638245,-0.8096819519996643,
ARKMUSDT-SFUNDUSDT,08/02-10/31,6.504895210266113,0.3183322846889496,23,0.28282153606414795,16,30,2881,2.1039552688598633,-0.4537125825881958,
HFTUSDT-VPADUSDT,08/02-10/31,0.8824284672737122,0.4462195336818695,7,0.12606121599674225,4,10,2881,1.0403456687927246,-0.472888320684433,
THETAUSDT-XRPUSDC,08/02-10/31,10.221977233886719,0.6427079439163208,16,0.6388735771179199,10,22,2881,6.0982184410095215,-2.5970029830932617,
BICOUSDT-ZILUSDT,08/02-10/31,-0.5064070224761963,0.3058769106864929,22,-0.023018501698970795,9,35,2881,1.067937970161438,-0.8620336055755615,
HFTUSDC-MOVRUSDT,08/02-10/31,5.778192520141602,0.7368921637535095,27,0.21400712430477142,18,36,2881,1.2628443241119385,-0.8938581347465515,
CTCUSDT-VPADUSDT,08/02-10/31,20.350339889526367,0.2693735361099243,9,2.2611489295959473,6,12,2881,4.910008430480957,-0.3927612006664276,
RSS3USDT-SDUSDT,08/02-10/31,3.6293811798095703,0.5378225445747375,10,0.3629381060600281,5,15,2881,15.350814819335938,-6.441086769104004,
RSS3USDT-UNIUSDT,08/02-10/31,6.631307601928711,0.46808022260665894,7,0.9473296403884888,3,11,2881,15.414450645446777,-6.3020453453063965,
