pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
WAXPUSDT-ZILUSDT,08/02-10/31,1.2249675989151,0.0,6,0.20416127145290375,5,7,2881,0.6794100403785706,-1.1408655643463135,
LUNCUSDC-LUNCUSDT,08/02-10/31,5.455802917480469,0.0,24,0.22732512652873993,15,33,2881,2.1989214420318604,-2.378255605697632,
COMPUSDT-GMXUSDT,08/02-10/31,3.5074076652526855,0.0,12,0.2922839820384979,8,16,2881,1.6046178340911865,-0.3541491627693176,
AXSUSDT-ENSUSDT,08/02-10/31,4.102896213531494,0.0,25,0.16411584615707397,17,33,2881,3.072096347808838,-4.71926736831665,
CITYUSDT-JUVUSDT,08/02-10/31,1.6263186931610107,0.0,26,0.06255071610212326,7,45,2881,2.9586341381073,-2.689497232437134,
ARKMUSDT-SANDUSDC,08/02-10/31,2.028594493865967,0.0,30,0.06761981546878815,16,44,2881,1.1904829740524292,-0.3910875618457794,
THETAUSDT-XRPUSDT,08/02-10/31,9.21409797668457,0.0,20,0.46070489287376404,12,28,2881,5.455123424530029,-2.586656332015991,
HFTUSDT-MOVRUSDT,08/02-10/31,7.9439897537231445,0.0,29,0.2739306688308716,19,39,2881,1.9293864965438843,-2.3843679428100586,
WOOUSDT-XRPUSDC,08/02-10/31,3.0852580070495605,0.0,27,0.11426881700754166,15,39,2881,3.2366034984588623,-1.618186354637146,
ALGOUSDT-WAXPUSDT,08/02-10/31,0.011638989672064781,0.0,3,0.0038796633016318083,1,5,2881,0.706195056438446,-0.6670071482658386,
ROSEUSDT-XEMUSDT,08/02-10/31,-3.0459342002868652,0.0,23,-0.13243192434310913,12,34,2881,1.400855541229248,-1.8329269886016846,
ALGOBTC-XECUSDT,08/02-10/31,2.35056209564209,0.0,22,0.1068437322974205,12,32,2881,1.3318191766738892,-1.514168620109558,
ETHUSDC-STETHUSDT,08/02-10/31,2.1599009037017822,0.0,21,0.10285242646932602,11,31,2881,2.6191203594207764,-0.5341911315917969,
AXSUSDT-UNIUSDT,08/02-10/31,-11.999271392822266,0.0,19,-0.6315405964851379,9,29,2881,1.3487964868545532,-4.9736223220825195,
ETHWUSDT-XTZUSDT,08/02-10/31,2.6084706783294678,0.0,25,0.10433882474899292,11,39,2881,2.7942800521850586,-4.022794723510742,
ARKMUSDT-GSTUSDT,08/02-10/31,4.7545247077941895,0.0,29,0.1639491319656372,18,40,2881,1.3723843097686768,-0.8308104276657104,
HFTUSDC-SCRTUSDT,08/02-10/31,-4.143778324127197,0.0,32,-0.12949307262897491,14,50,2881,0.975457489490509,-4.300793170928955,
APTUSDC-APTUSDT,08/02-10/31,-1.5621283054351807,0.0,14,-0.11158059537410736,6,22,2881,0.8532583713531494,-0.8164545893669128,
LDOUSDC-LDOUSDT,08/02-10/31,0.3554426431655884,0.0,5,0.0710885301232338,3,7,2881,0.3673365116119385,-0.12884749472141266,
ALGOUSDT-ROSEUSDT,08/02-10/31,0.7978971600532532,0.0,29,0.027513695880770683,14,44,2881,0.6959572434425354,-0.6711464524269104,
DAIUSDT-GSTUSDT,08/02-10/31,0.41562557220458984,0.0,2,0.20781278610229492,1,3,2881,0.4201265573501587,-0.0021902709268033504,
ETHUSDT-STETHUSDT,08/02-10/31,0.6400548219680786,0.0,22,0.02909340150654316,12,32,2881,2.6920042037963867,-0.9420985579490662,
ARUSDT-FILUSDT,08/02-10/31,-2.150432586669922,0.0,30,-0.07168108969926834,16,44,2881,5.8324666023254395,-15.585954666137695,
LDOUSDC-RDNTUSDT,08/02-10/31,1.2752106189727783,0.0,12,0.106267549097538,7,17,2881,0.5366255640983582,-0.2487701028585434,
ARKMUSDT-SUIUSDT,08/02-10/31,-1.1076759099960327,0.0,27,-0.041025035083293915,14,40,2881,0.8405836224555969,-1.7178791761398315,
HFTUSDT-SCRTUSDT,08/02-10/31,-2.766484498977661,0.0,30,-0.09221614897251129,16,44,2881,1.2873190641403198,-6.125359058380127,
1INCHUSDT-SCUSDT,08/02-10/31,10.54104232788086,0.0,14,0.7529315948486328,9,19,2881,6.525722980499268,-2.566652774810791,
BATUSDT-UMAUSDT,08/02-10/31,-4.900144577026367,0.0,32,-0.15312951803207397,18,46,2881,3.2513210773468018,-7.3930158615112305,
GMTUSDT-SANDUSDT,08/02-10/31,-3.7880349159240723,0.0,25,-0.15152139961719513,14,36,2881,0.9533033967018127,-3.3824214935302734,
USTCUSDT-ZILUSDT,08/02-10/31,6.4487199783325195,0.0,24,0.268696665763855,13,35,2881,2.916968584060669,-7.433085918426514,
EGLDUSDT-UNIUSDT,08/02-10/31,3.2235817909240723,0.0,19,0.16966219246387482,11,27,2881,3.3827829360961914,-1.436789870262146,
AXSUSDT-GMTUSDT,08/02-10/31,11.994097709655762,0.0,27,0.44422584772109985,20,34,2881,6.946512699127197,-5.06282377243042,
ETHWUSDT-GMTUSDC,08/02-10/31,4.715699672698975,0.0,27,0.17465554177761078,18,36,2881,3.139864683151245,-6.040374755859375,
