pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss
FLOWUSDT-XLMUSDC,12/03-03/02,63.207348,0.0,124,0.50973666,376,437,2881,3.2748718,-5.187973
FLOWUSDT-XLMUSDT,12/03-03/02,40.615112,0.0,115,0.3531749,392,437,2881,3.5059052,-4.3714447
THETAUSDT-WAVESUSDT,12/03-03/02,23.600765,0.0,126,0.18730766,424,498,2881,12.4591675,-15.545227
CELOUSDT-SOLOUSDT,12/03-03/02,22.195393,0.0,126,0.17615391,430,504,2881,5.394383,-10.176651
GSWIFTUSDT-HBARUSDT,12/03-03/02,10.94874,0.0,112,0.09775661,376,498,2881,4.9363556,-3.3194733
OMGUSDT-THETAUSDT,12/03-03/02,47.895164,0.0,118,0.4058912,318,370,2881,5.164177,-6.783554
MPLXUSDT-NEARUSDT,12/03-03/02,22.443733,0.0,114,0.19687486,397,455,2881,3.9984174,-5.176964
FLOWUSDT-TWTUSDT,12/03-03/02,29.132093,0.0,118,0.24688214,385,459,2881,3.9247098,-4.1371765
OMGUSDT-WAVESUSDT,12/03-03/02,51.202484,0.0,121,0.42316103,346,371,2881,5.441101,-9.703537
GLMRUSDT-PSTAKEUSDT,12/03-03/02,43.487946,0.0,121,0.3594045,408,443,2881,4.123387,-3.8717804
FLOWUSDT-IDUSDT,12/03-03/02,66.42032,0.0,118,0.56288403,385,405,2881,4.3798337,-3.5863647
BLURUSDT-CHZUSDC,12/03-03/02,35.91326,0.0,114,0.3150286,400,483,2881,4.246277,-4.724266
FLOWUSDT-STGUSDT,12/03-03/02,51.895676,0.0,122,0.4253744,398,456,2881,3.4790463,-3.8844757
BLURUSDT-CHZUSDT,12/03-03/02,39.071125,0.0,118,0.33111122,406,484,2881,4.633148,-4.8299484
ARKMUSDT-OMGUSDT,12/03-03/02,-43.59955,0.0,122,-0.35737336,359,427,2881,24.814667,-31.036194
GLMRUSDT-STGUSDT,12/03-03/02,39.457096,0.0,129,0.30586895,421,472,2881,2.5701795,-2.3746643
FLOWUSDT-KAVAUSDT,12/03-03/02,52.549763,0.0,120,0.4379147,383,432,2881,4.127255,-3.7925568
SISUSDT-TUSDUSDT,12/03-03/02,55.907524,0.0,117,0.4778421,399,497,2881,9.992538,-18.392815
ARKMUSDT-MPLXUSDT,12/03-03/02,-109.526215,0.0,121,-0.9051753,389,445,2881,32.728027,-53.908234
ARKMUSDT-BICOUSDT,12/03-03/02,-83.159584,0.0,114,-0.72947,380,486,2881,22.456146,-30.004333
FLOWUSDT-UNIUSDT,12/03-03/02,45.227623,0.0,117,0.3865609,407,483,2881,3.6071472,-4.1869965
FLOWUSDT-QTUMUSDT,12/03-03/02,79.86893,0.0,128,0.623976,405,442,2881,8.736966,-3.452774
OMGUSDT-SANDUSDT,12/03-03/02,43.980465,0.0,123,0.35756475,351,389,2881,5.227452,-7.914322
OMGUSDT-SANDUSDC,12/03-03/02,59.628357,0.0,123,0.48478338,297,341,2881,5.2680097,-7.706085
BELUSDT-DYDXUSDT,12/03-03/02,44.17413,0.0,107,0.41284233,356,400,2881,4.922604,-6.174408
FLOWUSDT-MANAUSDT,12/03-03/02,45.37184,0.0,118,0.38450712,378,434,2881,3.9547544,-4.440155
FLOWUSDT-MANAUSDC,12/03-03/02,54.159653,0.0,116,0.46689355,348,415,2881,4.316342,-4.190094
CELOUSDT-FILUSDC,12/03-03/02,44.72323,0.0,112,0.39931455,386,447,2881,10.067609,-4.4398193
CELOUSDT-FILUSDT,12/03-03/02,38.25966,0.0,115,0.33269268,389,464,2881,9.279477,-6.261612
ARKMUSDT-HBARUSDT,12/03-03/02,-20.278847,0.0,107,-0.18952194,347,392,2881,28.589916,-29.483337
BOBAUSDT-GMTUSDC,12/03-03/02,21.423225,0.0,114,0.18792303,356,447,2881,9.466382,-16.301552
BOBAUSDT-GMTUSDT,12/03-03/02,7.127141,0.0,118,0.0603995,414,506,2881,6.3304334,-15.462135
ADAUSDT-ENJUSDT,12/03-03/02,52.664753,0.0,120,0.43887293,422,457,2881,3.443997,-4.4855957
ADAUSDC-ENJUSDT,12/03-03/02,52.24894,0.0,122,0.42826998,420,453,2881,3.466061,-4.4978333
ADAUSDT-WAXPUSDT,12/03-03/02,13.368481,0.0,114,0.11726738,389,467,2881,2.6474957,-7.9817505
ADAUSDC-WAXPUSDT,12/03-03/02,8.025911,0.0,112,0.07165992,398,474,2881,2.6891522,-8.075592
ADAUSDC-KASTAUSDT,12/03-03/02,48.114815,0.0,121,0.3976431,410,490,2881,4.0982785,-5.501709
ADAUSDT-KASTAUSDT,12/03-03/02,45.48246,0.0,120,0.3790205,404,501,2881,4.176083,-5.4691772
ARKMUSDT-WAVESUSDT,12/03-03/02,-65.25601,0.0,110,-0.59323645,373,477,2881,20.77945,-30.5737
BOBAUSDT-SCRTUSDT,12/03-03/02,15.920904,0.0,113,0.14089295,420,474,2881,3.9913068,-14.596886
ARKMUSDT-FLOWUSDT,12/03-03/02,-188.96024,0.0,105,-1.7996213,356,442,2881,25.022766,-27.961212
SHRAPUSDT-SISUSDT,12/03-03/02,-42.60461,0.0,114,-0.37372464,420,614,2881,3.8379483,-5.8534393
BOBAUSDT-MNTUSDT,12/03-03/02,0.75315285,0.0,110,0.006846844,384,468,2881,4.620468,-14.3088
BOBAUSDT-MNTUSDC,12/03-03/02,1.7666054,0.0,111,0.015915364,396,481,2881,4.767334,-15.250099
BELUSDT-SUSHIUSDT,12/03-03/02,38.735283,0.0,117,0.33107078,383,430,2881,3.81913,-6.0789566
