config_path,results_dir,status,lineage_uid,metadata_json
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v011_evo_1c1877a2c095_oos20250701_20251231_stress.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/stress_autonomous_seed_20260305_215325_v011_evo_1c1877a2c095_oos20250701_20251231,planned,lnuid_9873aad3ed3ba0f8acac,"{""candidate_id"": ""evo_1c1877a2c095"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_9873aad3ed3ba0f8acac"", ""operator_id"": ""op_topup_force_mutate_18"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""stress"", ""variant_index"": 11, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v012_evo_d717ca7da5b0_oos20250701_20251231.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/holdout_autonomous_seed_20260305_215325_v012_evo_d717ca7da5b0_oos20250701_20251231,planned,lnuid_5e43e7d0759df2dbebf2,"{""candidate_id"": ""evo_d717ca7da5b0"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_5e43e7d0759df2dbebf2"", ""operator_id"": ""op_topup_force_mutate_22"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""holdout"", ""variant_index"": 12, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v012_evo_d717ca7da5b0_oos20250701_20251231_stress.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/stress_autonomous_seed_20260305_215325_v012_evo_d717ca7da5b0_oos20250701_20251231,planned,lnuid_5e43e7d0759df2dbebf2,"{""candidate_id"": ""evo_d717ca7da5b0"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_5e43e7d0759df2dbebf2"", ""operator_id"": ""op_topup_force_mutate_22"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""stress"", ""variant_index"": 12, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v013_evo_59264bc0f2a1_oos20250701_20251231.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/holdout_autonomous_seed_20260305_215325_v013_evo_59264bc0f2a1_oos20250701_20251231,planned,lnuid_b9d98d184135320df4ff,"{""candidate_id"": ""evo_59264bc0f2a1"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_b9d98d184135320df4ff"", ""operator_id"": ""op_topup_force_mutate_27"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""holdout"", ""variant_index"": 13, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v013_evo_59264bc0f2a1_oos20250701_20251231_stress.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/stress_autonomous_seed_20260305_215325_v013_evo_59264bc0f2a1_oos20250701_20251231,planned,lnuid_b9d98d184135320df4ff,"{""candidate_id"": ""evo_59264bc0f2a1"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_b9d98d184135320df4ff"", ""operator_id"": ""op_topup_force_mutate_27"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""stress"", ""variant_index"": 13, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v014_evo_e3aa109eff4b_oos20250701_20251231.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/holdout_autonomous_seed_20260305_215325_v014_evo_e3aa109eff4b_oos20250701_20251231,planned,lnuid_0f7cc51d37b41c749d8c,"{""candidate_id"": ""evo_e3aa109eff4b"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_0f7cc51d37b41c749d8c"", ""operator_id"": ""op_topup_force_mutate_28"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""holdout"", ""variant_index"": 14, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v014_evo_e3aa109eff4b_oos20250701_20251231_stress.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/stress_autonomous_seed_20260305_215325_v014_evo_e3aa109eff4b_oos20250701_20251231,planned,lnuid_0f7cc51d37b41c749d8c,"{""candidate_id"": ""evo_e3aa109eff4b"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_0f7cc51d37b41c749d8c"", ""operator_id"": ""op_topup_force_mutate_28"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""stress"", ""variant_index"": 14, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v015_evo_736fae3a8455_oos20250701_20251231.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/holdout_autonomous_seed_20260305_215325_v015_evo_736fae3a8455_oos20250701_20251231,planned,lnuid_72ab3ec399dac0c04dc1,"{""candidate_id"": ""evo_736fae3a8455"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_72ab3ec399dac0c04dc1"", ""operator_id"": ""op_topup_force_mutate_29"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""holdout"", ""variant_index"": 15, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v015_evo_736fae3a8455_oos20250701_20251231_stress.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/stress_autonomous_seed_20260305_215325_v015_evo_736fae3a8455_oos20250701_20251231,planned,lnuid_72ab3ec399dac0c04dc1,"{""candidate_id"": ""evo_736fae3a8455"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_72ab3ec399dac0c04dc1"", ""operator_id"": ""op_topup_force_mutate_29"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""stress"", ""variant_index"": 15, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
configs/evolution/autonomous_seed_20260305_215325/autonomous_seed_20260305_215325_v016_evo_f4d48e10c9b7_oos20250701_20251231.yaml,artifacts/wfa/runs/autonomous_seed_20260305_215325/holdout_autonomous_seed_20260305_215325_v016_evo_f4d48e10c9b7_oos20250701_20251231,planned,lnuid_74687749c40a0f6a27eb,"{""candidate_id"": ""evo_f4d48e10c9b7"", ""ir_mode"": ""patch_ast"", ""lineage_uid"": ""lnuid_74687749c40a0f6a27eb"", ""operator_id"": ""op_topup_force_mutate_31"", ""parents"": [""parent::configs/prod_final_budget1000.yaml""], ""profile"": ""holdout"", ""variant_index"": 16, ""window_end"": ""2025-12-31"", ""window_start"": ""2025-07-01""}"
