pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
CTCUSDT-DMAILUSDT,02/01-05/31,0.11364753544330597,0.035476312041282654,2,0.056823767721652985,1,3,2881,0.16838200390338898,-0.0371682308614254,
HOOKUSDT-KAVAUSDT,02/01-05/31,0.004467831924557686,0.002186772646382451,1,0.004467831924557686,1,1,2881,0.005566542036831379,-0.0010987099958583713,
CBKUSDT-FILUSDT,02/01-05/31,0.35364633798599243,0.06252234429121017,7,0.05052090436220169,5,9,2881,0.603076696395874,-0.8310412168502808,
FIDAUSDT-HOOKUSDT,02/01-05/31,0.49023863673210144,0.04550979286432266,7,0.07003409415483475,3,11,2881,0.45824354887008667,-0.12290386855602264,
ADAUSDC-KDAUSDT,02/01-05/31,-1.1607890129089355,0.08307433128356934,10,-0.11607889831066132,3,17,2881,0.46170517802238464,-0.6649296283721924,
HFTUSDT-KDAUSDT,02/01-05/31,0.6692162156105042,0.17308244109153748,8,0.08365202695131302,5,11,2881,0.4749651551246643,-0.22962327301502228,
1INCHUSDT-ICXUSDT,02/01-05/31,0.24107715487480164,0.016030509024858475,1,0.24107715487480164,1,1,2881,0.24914078414440155,-0.008063632994890213,
ADAEUR-APEUSDT,02/01-05/31,0.4373297095298767,0.007017217576503754,2,0.21866485476493835,1,3,2881,0.49982455372810364,-0.05834122747182846,
BATUSDT-CBKUSDT,02/01-05/31,0.10704955458641052,0.009521588683128357,2,0.05352477729320526,2,2,2881,0.08706734329462051,-0.0026245489716529846,
AGLAUSDT-APPUSDT,02/01-05/31,3.6715354919433594,0.18057379126548767,10,0.3671535551548004,6,14,2881,1.755442500114441,-0.6118462681770325,
JSTUSDT-JUVUSDT,02/01-05/31,0.5900983214378357,0.045668888837099075,4,0.14752458035945892,1,7,2881,0.6268984079360962,-0.01162038091570139,
ACSUSDT-HOOKUSDT,02/01-05/31,1.1905606985092163,0.04027969390153885,5,0.23811213672161102,1,9,2881,1.9851707220077515,-0.2672957479953766,
FILUSDT-JUVUSDT,02/01-05/31,-0.5111296772956848,0.11163809895515442,13,-0.03931766748428345,5,21,2881,0.9084234237670898,-0.541323721408844,
AXSUSDT-KUBUSDT,02/01-05/31,0.04781664162874222,0.01717780902981758,1,0.04781664162874222,1,1,2881,0.05645516514778137,-0.008638524450361729,
DYDXUSDT-KCALUSDT,02/01-05/31,0.0,0.0,0,0.0,0,0,2881,0.0,0.0,
