symbol,bars,min_ts,max_ts,turnover_sum,days_available,coverage_ratio,avg_daily_turnover_usd,days_since_last,is_leveraged,exclude_reasons
TRVLUSDT,26208,1672531200000,1696117500000,1399833.9805958446,273.0,1.0,5127.596998519577,0.010416655092592592,false,low_turnover
UMAUSDT,26208,1672531200000,1696117500000,2570515.254898106,273.0,1.0,9415.806794498558,0.010416655092592592,false,low_turnover
TWTUSDT,26208,1672531200000,1696117500000,49975571.47975294,273.0,1.0,183060.70139103642,0.010416655092592592,false,low_turnover
TURBOSUSDT,13304,1684144800000,1696117500000,6641717.9820119785,138.58333333333331,0.5076312576312576,24328.637296747173,0.010416655092592592,false,"short_history,low_coverage,low_turnover"
MINAUSDT,26208,1672531200000,1696117500000,74861377.5117218,273.0,1.0,274217.500042937,0.010416655092592592,false,""
CITYUSDT,26208,1672531200000,1696117500000,1645558.967219997,273.0,1.0,6027.688524615373,0.010416655092592592,false,low_turnover
DGBUSDT,26208,1672531200000,1696117500000,4306284.696581141,273.0,1.0,15773.936617513338,0.010416655092592592,false,low_turnover
DOTBTC,26208,1672531200000,1696117500000,337.9506359547994,273.0,1.0,1.2379144174168475,0.010416655092592592,false,low_turnover
MVUSDT,26208,1672531200000,1696117500000,181068649.8991121,273.0,1.0,663255.1278355755,0.010416655092592592,false,""
NFTUSDT,26208,1672531200000,1696117500000,1239688.0339258704,273.0,1.0,4540.981809252273,0.010416655092592592,false,low_turnover
LINKUSDC,26208,1672531200000,1696117500000,28762437.057286166,273.0,1.0,105356.91229775152,0.010416655092592592,false,low_turnover
NYMUSDT,8216,1688724000000,1696117500000,4058364.516370009,85.58333333333333,0.3134920634920635,14865.804089267433,0.010416655092592592,false,"short_history,low_coverage,low_turnover"
SDUSDT,26208,1672531200000,1696117500000,6002194.750731993,273.0,1.0,21986.061357992647,0.010416655092592592,false,low_turnover
XETAUSDT,26208,1672531200000,1696117500000,3251312.875377589,273.0,1.0,11909.57097207908,0.010416655092592592,false,low_turnover
ORTUSDT,26208,1672531200000,1696117500000,58404475.21609552,273.0,1.0,213935.80665236455,0.010416655092592592,false,low_turnover
PSTAKEUSDT,26208,1672531200000,1696117500000,1115083.8952707977,273.0,1.0,4084.556392933325,0.010416655092592592,false,low_turnover
VPADUSDT,26208,1672531200000,1696117500000,19698919.449897837,273.0,1.0,72157.21410218987,0.010416655092592592,false,low_turnover
AFCUSDT,26208,1672531200000,1696117500000,9521242.462602004,273.0,1.0,34876.34601685716,0.010416655092592592,false,low_turnover
APEXUSDT,26208,1672531200000,1696117500000,348058742.3197657,273.0,1.0,1274940.4480577498,0.010416655092592592,false,""
ANKRUSDT,26208,1672531200000,1696117500000,18604012.791421056,273.0,1.0,68146.56700154232,0.010416655092592592,false,low_turnover
ADAEUR,2456,1693908000000,1696117500000,297085.22325599974,25.583333333333332,0.09371184371184371,1088.2242610109881,0.010416655092592592,false,"short_history,low_coverage,low_turnover"
BOBAUSDT,26208,1672531200000,1696117500000,13743588.77629745,273.0,1.0,50342.81603039359,0.010416655092592592,false,low_turnover
SOLOUSDT,26208,1672531200000,1696117500000,7815303.647914005,273.0,1.0,28627.48588979489,0.010416655092592592,false,low_turnover
TAPUSDT,26208,1672531200000,1696117500000,76548508.46131033,273.0,1.0,280397.4668912466,0.010416655092592592,false,""
BICOUSDT,26208,1672531200000,1696117500000,11398406.277894037,273.0,1.0,41752.403948329804,0.010416655092592592,false,low_turnover
RUNEUSDT,26208,1672531200000,1696117500000,11557831.756129999,273.0,1.0,42336.380059084244,0.010416655092592592,false,low_turnover
LTCUSDC,26208,1672531200000,1696117500000,47598345.62736616,273.0,1.0,174352.91438595665,0.010416655092592592,false,low_turnover
LUNAUSDT,26208,1672531200000,1696117500000,231469028.55901593,273.0,1.0,847871.8994835748,0.010416655092592592,false,""
COREUSDT,22512,1675857600000,1696117500000,164195271.1908905,234.5,0.8589743589743589,601447.8798201117,0.010416655092592592,false,low_coverage
CYBERUSDT,4464,1692100800000,1696117500000,38377775.37971995,46.5,0.17032967032967034,140577.93179384596,0.010416655092592592,false,"short_history,low_coverage,low_turnover"
FMBUSDT,12624,1684756800000,1696117500000,6055589.768941101,131.5,0.4816849816849817,22181.647505278757,0.010416655092592592,false,"short_history,low_coverage,low_turnover"
