2026-01-18T10:38:31Z START queue=/opt/coint4/coint4/artifacts/wfa/aggregate/20260118_next4_fast/run_queue_next4_fast.csv parallel=1 heartbeat=30s idle_minutes=5 cpu_threshold=50
2026-01-18T10:52:04Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=1246 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T10:52:34Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=1246 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T10:53:04Z HEARTBEAT run_pid=1203 run_cpu=170% watcher_cpu=0% worker_pid=1246 worker_cpu=170% coint2_procs=1 cpu_total=170.0% idle_seconds=0
2026-01-18T10:53:34Z HEARTBEAT run_pid=1203 run_cpu=171% watcher_cpu=0% worker_pid=1246 worker_cpu=171% coint2_procs=1 cpu_total=171.0% idle_seconds=0
2026-01-18T10:54:04Z HEARTBEAT run_pid=1203 run_cpu=171% watcher_cpu=0% worker_pid=1246 worker_cpu=171% coint2_procs=1 cpu_total=171.0% idle_seconds=0
2026-01-18T10:54:34Z HEARTBEAT run_pid=1203 run_cpu=100% watcher_cpu=0% worker_pid=4182 worker_cpu=100% coint2_procs=1 cpu_total=100.0% idle_seconds=0
2026-01-18T10:55:04Z HEARTBEAT run_pid=1203 run_cpu=147% watcher_cpu=0% worker_pid=4182 worker_cpu=147% coint2_procs=1 cpu_total=147.0% idle_seconds=0
2026-01-18T10:55:34Z HEARTBEAT run_pid=1203 run_cpu=159% watcher_cpu=0% worker_pid=4182 worker_cpu=159% coint2_procs=1 cpu_total=159.0% idle_seconds=0
2026-01-18T10:56:04Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=4182 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T10:56:35Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=4182 worker_cpu=168% coint2_procs=1 cpu_total=168.0% idle_seconds=0
2026-01-18T10:57:05Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=4182 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T10:57:35Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=4182 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T10:58:05Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=4182 worker_cpu=168% coint2_procs=1 cpu_total=168.0% idle_seconds=0
2026-01-18T10:58:35Z HEARTBEAT run_pid=1203 run_cpu=167% watcher_cpu=0% worker_pid=4182 worker_cpu=167% coint2_procs=1 cpu_total=167.0% idle_seconds=0
2026-01-18T10:59:05Z HEARTBEAT run_pid=1203 run_cpu=166% watcher_cpu=0% worker_pid=4182 worker_cpu=166% coint2_procs=1 cpu_total=166.0% idle_seconds=0
2026-01-18T10:59:35Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=4182 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:00:05Z HEARTBEAT run_pid=1203 run_cpu=164% watcher_cpu=0% worker_pid=4182 worker_cpu=164% coint2_procs=1 cpu_total=164.0% idle_seconds=0
2026-01-18T11:00:35Z HEARTBEAT run_pid=1203 run_cpu=164% watcher_cpu=0% worker_pid=4182 worker_cpu=164% coint2_procs=1 cpu_total=164.0% idle_seconds=0
2026-01-18T11:01:05Z HEARTBEAT run_pid=1203 run_cpu=164% watcher_cpu=0% worker_pid=4182 worker_cpu=164% coint2_procs=1 cpu_total=164.0% idle_seconds=0
2026-01-18T11:01:35Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=4182 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:02:06Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=4182 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:02:36Z HEARTBEAT run_pid=1203 run_cpu=166% watcher_cpu=0% worker_pid=4182 worker_cpu=166% coint2_procs=1 cpu_total=166.0% idle_seconds=0
2026-01-18T11:03:06Z HEARTBEAT run_pid=1203 run_cpu=166% watcher_cpu=0% worker_pid=4182 worker_cpu=166% coint2_procs=1 cpu_total=166.0% idle_seconds=0
2026-01-18T11:03:36Z HEARTBEAT run_pid=1203 run_cpu=166% watcher_cpu=0% worker_pid=4182 worker_cpu=166% coint2_procs=1 cpu_total=166.0% idle_seconds=0
2026-01-18T11:04:06Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=4182 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:04:36Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=4182 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:05:06Z HEARTBEAT run_pid=1203 run_cpu=164% watcher_cpu=0% worker_pid=4182 worker_cpu=164% coint2_procs=8 cpu_total=844.0% idle_seconds=0
2026-01-18T11:05:36Z HEARTBEAT run_pid=1203 run_cpu=164% watcher_cpu=0% worker_pid=4182 worker_cpu=164% coint2_procs=1 cpu_total=164.0% idle_seconds=0
2026-01-18T11:06:06Z HEARTBEAT run_pid=1203 run_cpu=164% watcher_cpu=0% worker_pid=4182 worker_cpu=164% coint2_procs=1 cpu_total=164.0% idle_seconds=0
2026-01-18T11:06:37Z HEARTBEAT run_pid=1203 run_cpu=165% watcher_cpu=0% worker_pid=4182 worker_cpu=165% coint2_procs=1 cpu_total=165.0% idle_seconds=0
2026-01-18T11:07:07Z HEARTBEAT run_pid=1203 run_cpu=166% watcher_cpu=0% worker_pid=4182 worker_cpu=166% coint2_procs=1 cpu_total=166.0% idle_seconds=0
2026-01-18T11:07:37Z HEARTBEAT run_pid=1203 run_cpu=167% watcher_cpu=0% worker_pid=4182 worker_cpu=167% coint2_procs=1 cpu_total=167.0% idle_seconds=0
2026-01-18T11:08:07Z HEARTBEAT run_pid=1203 run_cpu=168% watcher_cpu=0% worker_pid=4182 worker_cpu=168% coint2_procs=1 cpu_total=168.0% idle_seconds=0
2026-01-18T11:08:37Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=4182 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T11:09:07Z HEARTBEAT run_pid=1203 run_cpu=169% watcher_cpu=0% worker_pid=4182 worker_cpu=169% coint2_procs=1 cpu_total=169.0% idle_seconds=0
2026-01-18T11:09:37Z HEARTBEAT run_pid=1203 run_cpu=170% watcher_cpu=0% worker_pid=4182 worker_cpu=170% coint2_procs=1 cpu_total=170.0% idle_seconds=0
2026-01-18T11:10:07Z HEARTBEAT run_pid=1203 run_cpu=171% watcher_cpu=0% worker_pid=4182 worker_cpu=171% coint2_procs=1 cpu_total=171.0% idle_seconds=0
2026-01-18T11:10:37Z HEARTBEAT run_pid=1203 run_cpu=170% watcher_cpu=0% worker_pid=4182 worker_cpu=170% coint2_procs=1 cpu_total=170.0% idle_seconds=0
2026-01-18T11:11:07Z HEARTBEAT run_pid=1203 run_cpu=147% watcher_cpu=0% worker_pid=5589 worker_cpu=147% coint2_procs=1 cpu_total=147.0% idle_seconds=0
2026-01-18T11:11:37Z HEARTBEAT run_pid=1203 run_cpu=160% watcher_cpu=0% worker_pid=5589 worker_cpu=160% coint2_procs=1 cpu_total=160.0% idle_seconds=0
