s1,s2,reason
ETHDAI,SANDUSDT,beta_out_of_range (4116.02)
DOGEEUR,ETHUSDT,beta_out_of_range (0.00)
DOTUSDT,ETHDAI,low_correlation_0.68
DOTUSDC,ETHDAI,low_correlation_0.68
FITFIUSDT,KCALUSDT,hurst_too_high (0.67)
ETCUSDT,SHIBUSDC,low_correlation_0.63
ETCUSDT,FILUSDT,pvalue_0.423
DOGEEUR,MANAUSDC,pvalue_0.558
DOGEEUR,MANAUSDT,pvalue_0.497
DOGEUSDC,DOTUSDC,pvalue_0.175
DOGEUSDC,DOTUSDT,pvalue_0.183
BTCDAI,ETHDAI,pvalue_0.967
SANDUSDC,SHIBUSDT,beta_out_of_range (37985.52)
FLOWUSDT,GMTUSDT,pvalue_0.064
ETCUSDT,FILUSDC,pvalue_0.407
SANDUSDC,SHIBUSDC,beta_out_of_range (38151.86)
FLOWUSDT,GMTUSDC,pvalue_0.060
SANDUSDT,SHIBUSDT,beta_out_of_range (38042.94)
DOTUSDC,LTCEUR,low_correlation_0.51
MANAUSDT,RVNUSDT,pvalue_0.119
MANAUSDC,RVNUSDT,pvalue_0.133
DOTUSDC,LTCUSDT,low_correlation_0.57
DOTUSDT,LTCEUR,low_correlation_0.51
DOGEEUR,ETHDAI,beta_out_of_range (0.00)
SANDUSDT,SHIBUSDC,beta_out_of_range (38206.79)
ONEUSDT,RVNUSDT,hurst_too_high (0.70)
DOTUSDT,LTCUSDT,low_correlation_0.57
DOTUSDC,LTCUSDC,low_correlation_0.57
ADAUSDT,ETHDAI,beta_out_of_range (0.00)
1INCHUSDT,ZILUSDT,kpss
ADAUSDC,ETHDAI,beta_out_of_range (0.00)
DOTUSDT,LTCUSDC,low_correlation_0.57
DOTUSDT,ETHEUR,low_correlation_0.63
DOTUSDC,ETHEUR,low_correlation_0.63
LRCUSDT,ONEUSDT,pvalue_0.500
DOGEUSDT,ETHEUR,beta_out_of_range (0.00)
DOTUSDC,XTZUSDT,pvalue_0.052
FLOWUSDT,SANDUSDC,pvalue_0.059
ARBUSDT,SANDUSDT,pvalue_0.129
ADAEUR,ETHEUR,beta_out_of_range (0.00)
FLOWUSDT,SANDUSDT,pvalue_0.057
KAVAUSDT,MANAUSDT,low_correlation_0.44
DOTUSDT,XTZUSDT,pvalue_0.054
ADAUSDT,ETCUSDT,pvalue_0.874
ARBUSDT,SANDUSDC,pvalue_0.129
ARBUSDC,SANDUSDT,pvalue_0.116
ARUSDT,GRTUSDT,pvalue_0.134
ICPUSDT,SANDUSDT,pvalue_0.626
BTCEUR,ETHUSDC,pvalue_0.932
BTCEUR,STETHUSDT,pvalue_0.935
DOGEUSDC,ETHEUR,beta_out_of_range (0.00)
ARBUSDC,SANDUSDC,pvalue_0.120
KAVAUSDT,MANAUSDC,low_correlation_0.44
GRTUSDT,MANAUSDT,hurst_too_high (0.66)
ADAUSDC,ETCUSDT,pvalue_0.861
BTCEUR,ETHUSDT,pvalue_0.932
LTCEUR,SANDUSDC,beta_out_of_range (124.10)
GRTUSDT,SHIBUSDT,beta_out_of_range (15100.51)
DOTUSDT,GMTUSDT,pvalue_0.521
DOTUSDC,GMTUSDT,pvalue_0.576
ICPUSDT,SANDUSDC,pvalue_0.619
GRTUSDT,MANAUSDC,hurst_too_high (0.65)
LTCEUR,SANDUSDT,beta_out_of_range (123.95)
DOTUSDT,GMTUSDC,pvalue_0.659
GRTUSDT,SHIBUSDC,beta_out_of_range (15161.96)
DOTUSDC,GMTUSDC,pvalue_0.659
GMTUSDT,GRTUSDT,kpss
DOGEEUR,GMTUSDT,pvalue_0.194
RVNUSDT,SANDUSDC,kpss
ADAUSDT,AVAXUSDC,hurst_too_high (0.57)
ADAUSDC,AVAXUSDC,hurst_too_high (0.57)
ADAUSDT,AVAXUSDT,hurst_too_high (0.57)
MAGICUSDT,SANDUSDT,pvalue_0.234
DOGEUSDT,MANAUSDT,pvalue_0.624
RVNUSDT,SANDUSDT,kpss
ADAEUR,STETHUSDT,beta_out_of_range (0.00)
ADAEUR,ETHUSDT,beta_out_of_range (0.00)
DOGEUSDT,MANAUSDC,pvalue_0.654
ICPUSDC,SANDUSDT,pvalue_0.614
ADAUSDC,AVAXUSDT,hurst_too_high (0.58)
DOGEEUR,GMTUSDC,pvalue_0.204
ADAEUR,ETHUSDC,beta_out_of_range (0.00)
ICPUSDC,SANDUSDC,pvalue_0.610
WAVESUSDT,XTZUSDT,hurst_too_high (0.99)
MAGICUSDT,SANDUSDC,pvalue_0.223
ONEUSDT,ROSEUSDT,kpss
BTCEUR,ETHDAI,pvalue_0.930
STETHUSDT,WBTCUSDT,pvalue_0.960
ENSUSDT,ETHUSDT,low_correlation_0.66
DOGEUSDC,MANAUSDC,pvalue_0.654
ADAUSDT,DOGEUSDT,pvalue_0.165
LUNAUSDT,LUNCUSDC,beta_out_of_range (9286.20)
ADAUSDC,DOGEUSDT,pvalue_0.133
GMTUSDC,GRTUSDT,kpss
ENSUSDT,STETHUSDT,low_correlation_0.67
DOTUSDT,ENSUSDT,pvalue_0.096
ENSUSDT,ETHUSDC,low_correlation_0.66
DOGEUSDC,MANAUSDT,pvalue_0.624
AXSUSDT,SHIBUSDT,beta_out_of_range (640621.73)
DOGEEUR,DOTUSDT,pvalue_0.181
LRCUSDT,WAVESUSDT,hurst_too_high (0.55)
NEARUSDT,XTZUSDT,pvalue_0.110
ETHUSDC,WBTCUSDT,pvalue_0.961
GMTUSDT,XTZUSDT,pvalue_0.130
DOGEEUR,DOTUSDC,pvalue_0.178
ETHDAI,WBTCUSDT,pvalue_0.957
DOTUSDC,ENSUSDT,pvalue_0.096
ARUSDT,DOTUSDC,low_correlation_0.70
ETHUSDT,WBTCUSDT,pvalue_0.961
AXSUSDT,SHIBUSDC,beta_out_of_range (643267.19)
ADAUSDC,DOGEUSDC,pvalue_0.116
ARUSDT,DOTUSDT,low_correlation_0.70
ADAUSDT,DOGEUSDC,pvalue_0.116
DOTUSDC,KAVAUSDT,kpss
MANAUSDT,SHIBUSDT,low_correlation_0.66
MANAUSDC,SHIBUSDT,low_correlation_0.66
LRCUSDT,NEARUSDT,kpss
GMTUSDC,XTZUSDT,pvalue_0.132
ADAUSDT,UNIUSDT,low_correlation_0.05
FLOWUSDT,MANAUSDC,hurst_too_high (0.56)
ATOMUSDT,DOTUSDC,low_correlation_0.64
DOTUSDT,KAVAUSDT,hurst_too_high (0.77)
DOGEUSDT,GMTUSDT,pvalue_0.206
ATOMUSDT,DOTUSDT,low_correlation_0.64
BTCUSDT,ETHEUR,pvalue_0.970
MANAUSDC,NEARUSDT,pvalue_0.359
MANAUSDC,SHIBUSDC,low_correlation_0.66
MANAUSDT,NEARUSDT,pvalue_0.351
ADAEUR,ETHDAI,beta_out_of_range (0.00)
DOTUSDT,UNIUSDT,half_life_170.0
ADAUSDC,UNIUSDT,low_correlation_0.05
MANAUSDT,SHIBUSDC,low_correlation_0.66
AXSUSDT,DOTUSDT,low_correlation_0.68
DOGEUSDC,GMTUSDT,pvalue_0.197
ADAUSDC,DOTUSDT,low_correlation_0.53
RVNUSDT,WAVESUSDT,hurst_too_high (0.53)
CHZUSDT,XTZUSDT,hurst_too_high (0.95)
ADAUSDC,DOTUSDC,low_correlation_0.53
DOGEUSDT,GMTUSDC,pvalue_0.219
ADAUSDT,DOTUSDT,low_correlation_0.53
AXSUSDT,DOTUSDC,low_correlation_0.68
GMTUSDT,KAVAUSDT,pvalue_0.651
FLOWUSDT,MANAUSDT,hurst_too_high (0.57)
ETCUSDT,XTZUSDT,hurst_too_high (0.56)
ADAUSDT,DOTUSDC,low_correlation_0.54
ANKRUSDT,BATUSDT,kpss
DOTUSDC,UNIUSDT,pvalue_0.953
BTCUSDC,ETHEUR,pvalue_0.970
DOGEUSDC,GMTUSDC,pvalue_0.212
GMTUSDC,KAVAUSDT,low_correlation_0.70
ETCUSDT,MANAUSDT,pvalue_0.962
ANKRUSDT,ICXUSDT,kpss
ENSUSDT,ETHDAI,low_correlation_0.66
CHZUSDC,XTZUSDT,hurst_too_high (0.95)
MANAUSDC,XTZUSDT,pvalue_0.574
SANDUSDT,UNIUSDT,low_correlation_0.28
DOTUSDT,SEIUSDT,pvalue_0.458
LTCEUR,MANAUSDT,pvalue_0.968
SANDUSDC,UNIUSDT,low_correlation_0.28
ETCUSDT,MANAUSDC,pvalue_0.957
DOTUSDC,SHIBUSDT,beta_out_of_range (538070.69)
ENSUSDT,ETHEUR,low_correlation_0.64
MANAUSDT,XTZUSDT,pvalue_0.596
LTCEUR,MANAUSDC,pvalue_0.968
STETHUSDT,XTZUSDT,beta_out_of_range (2228.99)
DOTUSDC,SEIUSDT,pvalue_0.454
DOTUSDT,SHIBUSDT,beta_out_of_range (539216.91)
GMTUSDT,RVNUSDT,hurst_too_high (0.79)
DOTUSDC,SHIBUSDC,beta_out_of_range (538861.10)
GMTUSDC,RVNUSDT,hurst_too_high (0.77)
ARUSDT,XTZUSDT,pvalue_0.985
AXSUSDT,DOGEUSDT,pvalue_0.494
ARBUSDT,OPUSDT,low_correlation_0.63
DOTUSDT,SHIBUSDC,beta_out_of_range (539974.85)
AXSUSDT,ETCUSDT,pvalue_0.883
ENSUSDT,ETCUSDT,pvalue_0.043
ARBUSDT,ENSUSDT,pvalue_0.164
ARBUSDC,OPUSDT,low_correlation_0.63
ENSUSDT,XTZUSDT,low_correlation_0.69
DOGEEUR,LTCUSDT,beta_out_of_range (0.00)
ETHUSDT,XTZUSDT,beta_out_of_range (2240.14)
MANAUSDC,MASKUSDT,pvalue_0.107
ETCUSDT,GMTUSDT,pvalue_0.874
ETCUSDT,GMTUSDC,pvalue_0.904
ETHEUR,MANAUSDT,beta_out_of_range (2810.44)
AXSUSDT,DOGEUSDC,pvalue_0.476
DOGEEUR,LTCUSDC,beta_out_of_range (0.00)
ETHUSDC,XTZUSDT,beta_out_of_range (2241.02)
NEARUSDT,ONEUSDT,pvalue_0.295
DOGEUSDT,RVNUSDT,pvalue_0.041
LTCUSDT,SANDUSDC,beta_out_of_range (128.32)
DOGEEUR,RVNUSDT,pvalue_0.056
ARBUSDT,OPUSDC,low_correlation_0.63
ETHEUR,MANAUSDC,beta_out_of_range (2807.99)
ARBUSDC,ENSUSDT,pvalue_0.148
ARBUSDC,OPUSDC,low_correlation_0.63
LTCUSDT,SANDUSDT,beta_out_of_range (128.18)
SUSHIUSDT,ZILUSDT,low_correlation_0.48
DOGEUSDC,RVNUSDT,pvalue_0.039
MANAUSDT,MASKUSDT,pvalue_0.129
DOGEUSDT,GRTUSDT,pvalue_0.743
BTCDAI,ETHEUR,pvalue_0.965
ENSUSDT,NEARUSDT,pvalue_0.799
FLOWUSDT,QTUMUSDT,pvalue_0.164
GMTUSDT,ICPUSDT,pvalue_0.038
AXSUSDT,DOGEEUR,pvalue_0.523
LTCUSDC,SANDUSDC,beta_out_of_range (128.45)
ADAUSDT,ETHEUR,beta_out_of_range (0.00)
ENSUSDT,LRCUSDT,pvalue_0.066
GRTUSDT,SANDUSDT,pvalue_0.168
MASKUSDT,NEARUSDT,low_correlation_0.65
GRTUSDT,SANDUSDC,pvalue_0.185
ARBUSDT,DOTUSDT,pvalue_0.177
LTCUSDC,SANDUSDT,beta_out_of_range (128.29)
DOGEUSDT,XTZUSDT,hurst_too_high (0.93)
MANAUSDC,ROSEUSDT,kpss
GMTUSDC,ICPUSDT,kpss
ADAUSDC,ETHEUR,beta_out_of_range (0.00)
RVNUSDT,SHIBUSDT,beta_out_of_range (1719.20)
GALAUSDT,SANDUSDT,pvalue_0.165
KSMUSDT,MANAUSDT,pvalue_0.503
MANAUSDT,ROSEUSDT,kpss
RDNTUSDT,SANDUSDT,low_correlation_0.67
KSMUSDT,MANAUSDC,pvalue_0.423
GMTUSDT,SHIBUSDT,beta_out_of_range (24014.63)
DOGEUSDC,GRTUSDT,pvalue_0.735
DOGEUSDC,XTZUSDT,hurst_too_high (0.94)
GMTUSDC,SHIBUSDT,beta_out_of_range (23984.76)
GMTUSDT,SHIBUSDC,beta_out_of_range (24101.28)
GALAUSDT,SANDUSDC,pvalue_0.156
RVNUSDT,SHIBUSDC,beta_out_of_range (1725.75)
ARBUSDT,DOTUSDC,pvalue_0.169
ADAEUR,DOTUSDT,low_correlation_0.50
BCHUSDT,BTCUSDT,pvalue_0.780
GMTUSDT,ICPUSDC,kpss
RDNTUSDT,SANDUSDC,low_correlation_0.67
GMTUSDC,SHIBUSDC,beta_out_of_range (24072.31)
STETHUSDT,SUSHIUSDT,low_correlation_0.64
LRCUSDT,MANAUSDC,pvalue_0.723
MASKUSDT,RVNUSDT,beta_out_of_range (157.76)
ADAUSDC,LTCUSDT,pvalue_0.888
GMTUSDC,ICPUSDC,pvalue_0.034
LTCEUR,STETHUSDT,pvalue_0.137
ETHEUR,LRCUSDT,beta_out_of_range (5968.54)
ALGOUSDT,GMTUSDT,low_correlation_0.67
KAVAUSDT,RVNUSDT,pvalue_0.373
SANDUSDC,ZILUSDT,pvalue_0.040
ADAUSDT,LTCUSDT,pvalue_0.884
LTCUSDC,STETHUSDT,pvalue_0.098
BCHUSDT,ETCUSDT,low_correlation_0.67
ADAEUR,DOTUSDC,low_correlation_0.51
GMTUSDT,SUSHIUSDT,pvalue_0.724
ARBUSDC,DOTUSDT,pvalue_0.170
ICPUSDC,XTZUSDT,pvalue_0.732
ETHUSDC,LTCUSDT,pvalue_0.106
ETHUSDC,LTCUSDC,pvalue_0.101
DOGEUSDT,UNIUSDT,low_correlation_0.22
SANDUSDT,ZILUSDT,pvalue_0.036
LRCUSDT,MANAUSDT,pvalue_0.710
BNBUSDT,UNIUSDT,low_correlation_0.21
LRCUSDT,STETHUSDT,beta_out_of_range (0.00)
ETHUSDC,LTCEUR,pvalue_0.153
ADAEUR,DOGEEUR,pvalue_0.126
ROSEUSDT,RVNUSDT,pvalue_0.269
ADAEUR,ETCUSDT,pvalue_0.841
LTCUSDT,STETHUSDT,pvalue_0.100
ANKRUSDT,ZILUSDT,kpss
MAGICUSDT,RDNTUSDT,pvalue_0.185
GMTUSDT,SUIUSDC,low_correlation_0.54
ICPUSDT,XTZUSDT,pvalue_0.716
ARBUSDT,DOGEUSDT,pvalue_0.088
ADAUSDC,LTCUSDC,pvalue_0.883
BNBUSDT,ETCUSDT,pvalue_0.096
BCHUSDT,BTCUSDC,pvalue_0.781
ETHDAI,XTZUSDT,beta_out_of_range (2240.39)
DOTUSDC,FILUSDT,low_correlation_0.45
ARBUSDC,DOTUSDC,pvalue_0.162
GMTUSDT,SUIUSDT,low_correlation_0.54
