s1,s2,reason
ETHUSDT,LDOUSDT,beta_out_of_range (523.15)
CHZUSDC,SHIBUSDC,beta_out_of_range (12698.25)
CHZUSDC,SHIBUSDT,beta_out_of_range (12707.86)
ETHUSDC,LDOUSDT,beta_out_of_range (523.72)
GMXUSDT,RDNTUSDT,beta_out_of_range (243.95)
SANDUSDT,SPELLUSDT,beta_out_of_range (823.98)
CRVUSDT,STETHUSDT,beta_out_of_range (0.00)
ALGOUSDT,SHIBUSDT,beta_out_of_range (24548.16)
APTUSDT,JASMYUSDT,beta_out_of_range (1013.12)
ADAUSDT,ETHUSDT,beta_out_of_range (0.00)
ADAUSDT,SHIBUSDT,beta_out_of_range (77997.31)
ADAUSDC,ETHUSDT,beta_out_of_range (0.00)
ADAUSDT,SHIBUSDC,beta_out_of_range (77928.38)
ALGOUSDT,SHIBUSDC,beta_out_of_range (24526.04)
JASMYUSDT,PEPEUSDT,beta_out_of_range (2975.86)
ETHUSDT,LDOUSDC,beta_out_of_range (522.85)
ADAUSDT,ETHUSDC,beta_out_of_range (0.00)
ADAUSDC,ETHUSDC,beta_out_of_range (0.00)
CRVUSDT,ETHUSDT,beta_out_of_range (0.00)
ETHUSDC,LDOUSDC,beta_out_of_range (523.41)
ICPUSDT,JASMYUSDT,beta_out_of_range (669.54)
AAVEUSDT,MANAUSDT,beta_out_of_range (199.06)
ENSUSDT,PEPEUSDT,beta_out_of_range (2502467.39)
ADAUSDC,STETHUSDT,beta_out_of_range (0.00)
AAVEUSDT,MANAUSDC,beta_out_of_range (198.91)
ADAUSDT,STETHUSDT,beta_out_of_range (0.00)
SHIBUSDC,STGUSDT,beta_out_of_range (0.00)
APTUSDC,ONEUSDT,beta_out_of_range (450.53)
CRVUSDT,ETHUSDC,beta_out_of_range (0.00)
BTCUSDT,ETCUSDT,beta_out_of_range (2024.14)
SHIBUSDT,STGUSDT,beta_out_of_range (0.00)
ICPUSDC,JASMYUSDT,beta_out_of_range (669.05)
LTCUSDC,XECUSDT,beta_out_of_range (1490416.12)
APTUSDC,JASMYUSDT,beta_out_of_range (1014.03)
KSMUSDT,XLMUSDT,beta_out_of_range (452.77)
ARBUSDC,XECUSDT,beta_out_of_range (43521.73)
