run_id,run_group,results_dir,metrics_path,config_path,status,metrics_present,sharpe_ratio_abs,total_pnl,max_drawdown_abs,total_trades,total_pairs_traded,best_pair_pnl,worst_pair_pnl,avg_pnl_per_pair
20260114_160200_optimize_q4_sanity_wfa_zscore_0p8_rw120,20260114_160200_optimize_q4_sanity_wfa_zscore_0p8_rw120,artifacts/wfa/runs/20260114_160200_optimize_q4_sanity_wfa_zscore_0p8_rw120,artifacts/wfa/runs/20260114_160200_optimize_q4_sanity_wfa_zscore_0p8_rw120/strategy_metrics.csv,,unknown,True,-0.006360249663493586,-4.411866408867354,-160.55479514918989,3594.0,156.0,16.258335,-22.559105,-0.13778217
20260114_161240_optimize_q4_sanity_wfa_zscore_0p8_exit_0p1,20260114_161240_optimize_q4_sanity_wfa_zscore_0p8_exit_0p1,artifacts/wfa/runs/20260114_161240_optimize_q4_sanity_wfa_zscore_0p8_exit_0p1,artifacts/wfa/runs/20260114_161240_optimize_q4_sanity_wfa_zscore_0p8_exit_0p1/strategy_metrics.csv,,unknown,True,0.2927187407604862,181.4049905790307,-81.79286494496046,3690.0,153.0,31.243996,-12.68115,1.0111784
20260114_162005_optimize_q4_sanity_wfa_zscore_0p8_sl2p5_ts3p5,20260114_162005_optimize_q4_sanity_wfa_zscore_0p8_sl2p5_ts3p5,artifacts/wfa/runs/20260114_162005_optimize_q4_sanity_wfa_zscore_0p8_sl2p5_ts3p5,artifacts/wfa/runs/20260114_162005_optimize_q4_sanity_wfa_zscore_0p8_sl2p5_ts3p5/strategy_metrics.csv,,unknown,True,0.2568960879920881,158.5431700727495,-82.18736071902094,3687.0,153.0,31.243996,-12.68115,0.8954672
20260114_162724_optimize_q4_sanity_wfa_zscore_0p8_filters_strict,20260114_162724_optimize_q4_sanity_wfa_zscore_0p8_filters_strict,artifacts/wfa/runs/20260114_162724_optimize_q4_sanity_wfa_zscore_0p8_filters_strict,artifacts/wfa/runs/20260114_162724_optimize_q4_sanity_wfa_zscore_0p8_filters_strict/strategy_metrics.csv,,unknown,True,0.23110905710391255,108.93401958671166,-80.49703494569985,2770.0,115.0,31.243996,-11.999271,0.8935949
20260114_163803_optimize_q4_sanity_wfa_zscore_0p8_exit_0p15,20260114_163803_optimize_q4_sanity_wfa_zscore_0p8_exit_0p15,artifacts/wfa/runs/20260114_163803_optimize_q4_sanity_wfa_zscore_0p8_exit_0p15,artifacts/wfa/runs/20260114_163803_optimize_q4_sanity_wfa_zscore_0p8_exit_0p15/strategy_metrics.csv,,unknown,True,0.2749696578411026,169.82273244907265,-82.22721539455233,3694.0,153.0,31.243996,-12.68115,0.94286776
20260114_164814_optimize_wfa5_zscore_0p8_exit_0p1,20260114_164814_optimize_wfa5_zscore_0p8_exit_0p1,artifacts/wfa/runs/20260114_164814_optimize_wfa5_zscore_0p8_exit_0p1,artifacts/wfa/runs/20260114_164814_optimize_wfa5_zscore_0p8_exit_0p1/strategy_metrics.csv,,unknown,True,0.2394044192270947,260.99017487931997,-137.99425742030144,5843.0,248.0,32.8062,-19.518658,0.65407234
20260114_170231_optimize_wfa5_zscore_0p8_exit_0p1_kpss0p03,20260114_170231_optimize_wfa5_zscore_0p8_exit_0p1_kpss0p03,artifacts/wfa/runs/20260114_170231_optimize_wfa5_zscore_0p8_exit_0p1_kpss0p03,artifacts/wfa/runs/20260114_170231_optimize_wfa5_zscore_0p8_exit_0p1_kpss0p03/strategy_metrics.csv,,unknown,True,0.24064322885381292,355.7951296879837,-125.6922074483009,8749.0,382.0,32.8062,-35.65371,0.6999879
20260114_172208_optimize_q4_sanity_wfa_zscore_0p8_sigma_0p2,20260114_172208_optimize_q4_sanity_wfa_zscore_0p8_sigma_0p2,artifacts/wfa/runs/20260114_172208_optimize_q4_sanity_wfa_zscore_0p8_sigma_0p2,artifacts/wfa/runs/20260114_172208_optimize_q4_sanity_wfa_zscore_0p8_sigma_0p2/strategy_metrics.csv,,unknown,True,0.2568960879920881,158.5431700727495,-82.18736071902094,3687.0,153.0,31.243996,-12.68115,0.8954672
20260114_173620_optimize_wfa5_zscore_0p8,20260114_173620_optimize_wfa5_zscore_0p8,artifacts/wfa/runs/20260114_173620_optimize_wfa5_zscore_0p8,artifacts/wfa/runs/20260114_173620_optimize_wfa5_zscore_0p8/strategy_metrics.csv,,unknown,True,0.2156679799662599,235.02574801055016,-148.2830005865544,5838.0,248.0,32.91983,-20.082924,0.5748747
20260114_175017_optimize_q4_sanity_wfa_zscore_0p8_kpss0p03,20260114_175017_optimize_q4_sanity_wfa_zscore_0p8_kpss0p03,artifacts/wfa/runs/20260114_175017_optimize_q4_sanity_wfa_zscore_0p8_kpss0p03,artifacts/wfa/runs/20260114_175017_optimize_q4_sanity_wfa_zscore_0p8_kpss0p03/strategy_metrics.csv,,unknown,True,0.2010332863578059,189.9031016045774,-134.26169897147338,5653.0,235.0,31.243996,-39.111187,0.59857154
