s1,s2,beta,mean,std,half_life,pvalue,hurst,mean_crossings
ANKRUSDT,CTCUSDT,0.14967587015251205,0.4382357367038596,0.24375187226371775,2.470305321350519,0.024504483995566918,0,9
GENEUSDT,ORTUSDT,0.501396765269447,0.20244496108092833,0.243484685006169,1.2869672724224637,0.03636635582959654,0,15
MBXUSDT,VPADUSDT,0.5252082219505676,0.30439963875872283,0.24339922016689597,1.510442935349563,0.019927623219807577,0,31
DOGEEUR,PSTAKEUSDT,0.7704484383439811,0.3245262871102463,0.24333498114877788,0.8072193327152999,0.016358343961245168,0,45
SDUSDT,VANRYUSDT,0.2633559437750121,0.4956524821689268,0.24293726418609124,1.983502852901322,0.02471379855059991,0,63
GENEUSDT,NEONUSDT,0.3894749635538747,0.1555904156536277,0.2425847608695269,1.3642263069449463,0.029090973994068903,0,21
APEUSDT,FILUSDC,0.5465798154937835,0.2967575728420577,0.2423523163450711,2.5693134521519614,0.04616288921863712,0,13
ALGOUSDT,THNUSDT,0.9003812370288254,0.3711256472776123,0.24172795983388923,0.8356541300906772,0.04276980273355826,0,29
APEUSDT,VPADUSDT,0.5337319364919063,0.3328079109658166,0.2414749156633466,1.3050587548936823,0.02765022931252745,0,39
MBXUSDT,XECUSDT,0.585413710247207,0.14995174558203778,0.2412873623280912,1.4404643863576962,0.038572699508194246,0,65
SPELLUSDT,WBTCBTC,0.25115971290595906,0.4288653124713996,0.2406515557447379,1.798051578981186,0.041811527061844204,0,33
OMGUSDT,WBTCBTC,0.23704270974314287,0.44628449405238274,0.23949517986494062,1.8478680467929474,0.04329613443012524,0,15
JTOUSDT,TAPUSDT,0.9576268722713495,0.29094962581649614,0.23943750659590102,0.9084620420229845,0.005947396567486778,0,28
FLOKIUSDT,WBTCBTC,0.3155336714720822,0.4334961956123841,0.23941785000928775,1.344336740154703,0.0354837514161719,0,25
APEUSDC,VPADUSDT,0.5306827279786003,0.3328441531299849,0.2392770640756473,1.2700122725875675,0.02743327313654605,0,45
MANABTC,SUNUSDT,0.22931737343683034,0.3788771871342538,0.23899136545737942,3.740788233087522,0.028785694157125112,0,5
FITFIUSDT,WBTCBTC,0.15963281657946624,0.40781907774284004,0.23874971805237197,1.1546945105935313,0.009983539422283937,0,23
PEOPLEUSDT,VANRYUSDT,0.6588031615304769,0.08380798262641669,0.23791619343393097,0.7633290752762486,0.013850904644791611,0,47
ANKRUSDT,THNUSDT,0.9865061079118277,0.3107040003061818,0.2375169417087889,0.7291142800299308,0.04089122285072017,0,43
DGBUSDT,PSTAKEUSDT,0.7160278047951318,0.3359655213447699,0.23719167092446125,0.9948774380877269,0.01931547955344511,0,31
CTCUSDT,MYRIAUSDT,0.16942234612766804,0.4005249242454692,0.23691197954221233,1.9004109799040303,0.036811152887402165,0,42
JSTUSDT,TAPUSDT,1.1837239041291512,0.397072503602829,0.2366005525087275,0.6339556036229534,0.0008285109173099939,0,32
FMCUSDT,XECUSDT,0.31294019132457035,0.2292807728262232,0.23654505693335032,1.9583904552512605,0.030696906549811814,0,33
ONEUSDT,PSTAKEUSDT,0.47670998620776195,0.34399041991946716,0.23647273023103044,1.3705715046431826,0.03548705827481323,0,21
ARBUSDC,TRVLUSDT,0.9671809828730318,0.41365135328812547,0.23620545121222697,1.370766950995448,0.04047954705967966,0,55
ARBUSDT,TRVLUSDT,0.9703869036490368,0.4122365222059882,0.2361049065392016,1.3678650421585334,0.0401749100168499,0,53
